from,to,weight
0,8,10
0,9,10
0,7,5
0,1,10
1,8,10
1,5,10
1,7,5
14,2,10
2,8,10
2,0,5
2,7,5
2,4,10
2,3,10
2,5,10
2,1,5
3,6,5
3,4,5
3,14,5
3,5,10
3,1,5
5,8,10
14,5,10
5,7,5
5,4,5
6,8,10
6,1,5
6,7,5
12,8,10
8,14,5
8,9,10
8,7,5
9,7,5
9,1,5
10,15,5
11,1,5
13,7,5
13,6,5
14,4,5
14,7,5
14,1,5
11,2,1
3,8,1
11,3,1
11,8,1
0,3,1
10,2,1
2,9,1
3,9,1
0,6,1
0,13,1
6,9,1
13,8,1
13,9,1
0,11,1
13,2,1
13,3,1
11,9,1
11,13,1
10,3,1
10,11,1
0,10,1
0,5,1
5,9,1
15,3,1
10,8,1
0,14,1
15,2,1
11,5,1
14,9,1
11,14,1
1,13,1
2,6,1
5,6,1
13,5,1
0,15,1
12,2,1
12,3,1
10,5,1
12,5,1
10,12,1
10,13,1
11,12,1
12,13,1
